AREA,Gross Value Added,VAT/PAYE registered enterprises,Small businesses,VAT/PAYE (Business Births),"VAT/PAYE (Business Births) per 10,000 adults",VAT/PAYE (Business Deaths),"VAT/PAYE (Business Deaths) per 10,000 adults",3-year business survival,3-year business survival rate,Foreign-owned enterprises,Foreign-owned enterprises (EU),Foreign-owned business jobs,Foreign-owned business jobs (EU),International Exports Value,International Exports Value (EU),BERD,BERD Jobs,High growth enterprises,VAT/PAYE Businesses Jobs,Employment,Working age employment rate,Working age employment rate (95% CI),Self-employed,Self-employed rate,Self-employed (95% CI),Self-employed Females,Self-employed Females rate,Self-employed Females rate (95% CI),Unemployment,Unemployment rate,Unemployment rate (95% CI),Median gross weekly pay (RA),Median gross weekly pay (RA) (SE),Median gross weekly pay (WE),Median gross weekly pay (WE) (SE),Population,Population (16+),Population (16-64)
Glasgow City,32632,20505,0.26,3075,58.41,2975,56.51,1625,0.51,710,295,0.19,0.08,2900,1255,182.46,1518,455,416000,"298,000",0.67,0.03,"33,100",0.11,0.02,"11,000",0.07,0.03,"14,500",0.05,0.01,563,2.5,589.2,2.1,"633,120","532,454","447,290"
Highland,27265,11605,0.49,820,41.79,770,39.24,585,0.61,285,130,0.12,0.04,765,385,19.23,261,160,125000,"118,000",0.79,0.04,"16,200",0.14,0.04,"4,300",0.08,0.04,"3,300",0.03,0.008,575,3.4,568.2,3.4,"235,830","196,794","143,706"
Inverclyde,14971,1815,0.31,210,32.05,225,34.34,140,0.56,65,20,0.17,0.02,265,105,4.41,63,35,29000,"33,800",0.68,0.04,"2,700",0.08,0.03,500,0.03,,"1,700",0.05,0.012,543.8,8.2,588,14,"77,800","65,197","48,689"
Midlothian,17605,2650,0.45,285,38.64,250,33.9,170,0.61,75,35,0.16,0.07,160,55,20.63,301,60,32000,"47,000",0.8,0.03,"5,100",0.11,0.03,"2,000",0.08,0.03,"1,300",0.03,0.007,552.5,5,560.8,6.2,"92,460","74,507","57,124"
Moray,22885,3560,0.47,295,37.18,255,32.14,190,0.63,85,35,0.07,0.03,790,275,3.12,85,55,38000,"46,500",0.75,0.03,"6,900",0.15,0.03,"2,500",0.12,0.04,"1,600",0.03,0.008,561.6,11,569.9,9.2,"95,820","79,675","58,959"
Na h-Eileanan Siar,21133,1245,0.66,70,31.11,90,40,45,0.5,20,10,0.08,0.02,100,50,,,15,16000,"13,500",0.82,0.04,"2,000",0.15,0.04,600,0.09,0.05,300,0.02,0.008,518,8.7,524.7,10,"26,720","22,466","15,571"
North Ayrshire,14777,3540,0.43,355,31.56,375,33.33,220,0.57,100,45,0.17,0.09,345,245,5.37,127,65,42000,"58,800",0.71,0.04,"5,300",0.09,0.03,"1,800",0.07,0.03,"3,300",0.05,0.012,550.1,4.5,540,4.9,"134,740","112,272","81,740"
North Lanarkshire,22347,8290,0.31,1090,39.32,950,34.27,640,0.53,340,170,0.22,0.1,1215,560,65.99,874,155,138000,"165,800",0.74,0.03,"12,000",0.07,0.02,"3,400",0.04,0.02,"7,100",0.04,0.01,567.8,2.8,581,3.9,"341,370","278,534","219,435"
Orkney Islands,28571,1575,0.72,60,32.18,45,24.13,40,0.67,25,15,0.04,0.02,140,85,1.76,33,10,13000,"12,100",0.87,0.07,"1,900",0.16,0.07,800,0.14,,200,0.02,0.008,598,12,598.8,13,"22,270","18,688","13,382"
Perth and Kinross,28502,6635,0.44,485,38.23,450,35.47,325,0.58,180,75,0.1,0.02,310,135,6.81,99,95,69000,"80,200",0.83,0.03,"15,800",0.2,0.03,"6,400",0.17,0.04,"1,900",0.02,0.006,567.7,5.1,534.5,4.3,"151,950","127,529","91,695"
Renfrewshire,22408,5210,0.27,625,42.34,580,39.29,360,0.55,260,110,0.23,0.08,2065,1000,31.8,352,125,89000,"88,800",0.77,0.03,"7,400",0.08,0.02,"2,500",0.06,0.03,"3,400",0.04,0.009,626.9,5.8,536.1,4.4,"179,100","148,833","114,946"
Scottish Borders,18400,5295,0.57,300,31.18,305,31.7,220,0.59,85,35,0.13,0.05,395,230,7,143,65,48000,"54,700",0.76,0.03,"11,400",0.21,0.04,"4,300",0.16,0.04,"1,700",0.03,0.008,543.2,6,507.3,5.7,"115,510","96,487","67,871"
Shetland Islands,33145,1570,0.63,75,39.93,70,37.26,50,0.56,25,15,0.1,0.07,140,50,,,15,16000,"11,900",0.78,0.1,"1,500",0.12,,,0.05,,300,0.02,0.012,591.7,11,585.4,12,"22,920","18,722","14,036"
South Ayrshire,17610,3930,0.42,365,38.46,340,35.82,205,0.5,145,60,0.18,0.04,1000,305,12.29,192,80,49000,"50,200",0.74,0.04,"7,800",0.16,0.03,"2,600",0.11,0.04,"1,900",0.04,0.01,621.2,6.5,584.3,7.4,"112,610","95,002","66,258"
South Lanarkshire,17265,9655,0.4,1185,44.93,1070,40.57,710,0.56,250,120,0.16,0.09,1375,885,22.66,420,155,120000,"154,900",0.77,0.03,"19,500",0.13,0.03,"7,200",0.1,0.04,"5,100",0.03,0.008,580.4,2.7,581.4,4,"320,530","264,881","202,175"
Stirling,28326,4270,0.37,455,57.73,345,43.77,225,0.56,155,65,0.11,0.04,245,110,10.1,183,90,49000,"45,200",0.73,0.03,"5,600",0.12,0.03,"1,900",0.08,0.03,"1,800",0.04,0.01,651.2,6.1,617.8,7.3,"94,210","78,793","60,529"
West Dunbartonshire,19219,2045,0.4,265,36.09,240,32.69,140,0.51,80,30,0.28,0.1,715,220,,111,35,32000,"42,800",0.74,0.03,"4,000",0.09,0.02,"1,200",0.05,0.02,"2,000",0.04,0.01,522.7,4.4,582.7,7.2,"88,930","73,283","56,552"
West Lothian,26721,5340,0.31,680,46.37,530,36.14,365,0.54,255,105,0.29,0.07,1320,640,162.43,1505,140,78000,"92,800",0.78,0.03,"10,200",0.11,0.03,"4,300",0.1,0.04,"2,800",0.03,0.007,574.2,3.8,588.7,3.5,"183,100","147,606","117,121"
Scotland,26134,178780,0.36,20590,46,18706,41.4,12070,0.56,2870,1225,0.18,0.07,32440,14850,1355.92,14747,1880,2612000,"2,663,900",0.75,0.01,"329,600",0.12,0.01,"116,900",0.09,0.01,"95,800",0.04,0.003,577.7,0.7,576.7,0.7,"5,463,300","4,541,903","3,497,758"
